,300,300,300,300,300,300,,420,420,420,420,420,420,,540,540,540,540,540,540,,660,660,660,660,660,660,,780,780,780,780,780,780,,900,900,900,900,900,900,,1020,1020,1020,1020,1020,1020,,1140,1140,1140,1140,1140,1140,,1260,1260,1260,1260,1260,1260,,1380,1380,1380,1380,1380,1380,,1500,1500,1500,1500,1500,1500
,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD
,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count
0,3.3615929,152,0.0048405,178,3.17E-04,153,,6.1892376,204,8.74E-04,239,4.89E-04,206,,8.8784264,257,0.001411,302,7.27E-04,259,,14.1141585,313,0.0024964,373,9.53E-04,316,,24.3186913,379,0.0027738,447,0.0014056,382,,29.4102617,439,0.0039301,520,0.001911,443,,33.9673865,496,0.0051867,582,0.0023409,498,,40.3458615,561,0.0067722,649,0.0029863,561,,56.5008144,611,0.0091202,711,0.0035144,616,,60.6694966,686,0.0115833,803,0.00405,688,,74.8957774,727,0.0128865,857,0.0047751,733
1,3.2242604,151,0.0012659,178,2.85E-04,153,,5.4318517,204,9.61E-04,239,4.46E-04,206,,8.9478008,257,0.0013314,302,6.90E-04,259,,15.3786631,312,0.0020643,373,9.68E-04,316,,20.4524788,380,0.0027462,447,0.0013873,382,,27.0291815,439,0.0040134,520,0.0017936,443,,32.3496683,497,0.0055219,582,0.0023926,498,,41.1773603,560,0.0079703,649,0.0028635,561,,57.3619841,610,0.0084909,711,0.0037156,616,,58.9483561,687,0.0116926,803,0.0042448,688,,71.482776,727,0.0120668,857,0.0049406,733
2,3.6851833,151,0.0015419,178,2.75E-04,153,,5.1304985,204,9.14E-04,239,4.50E-04,206,,9.267783,257,0.0014871,302,7.28E-04,259,,14.4538046,313,0.0022025,373,9.33E-04,316,,21.4056808,379,0.0029137,447,0.0013846,382,,26.3225499,439,0.0046271,520,0.0018142,443,,33.9131347,496,0.0049066,582,0.0022843,498,,42.047309,561,0.006628,649,0.0028815,561,,51.0973817,613,0.0099146,711,0.0036552,616,,58.5888649,687,0.0106724,803,0.00493,688,,71.1341191,728,0.012464,857,0.0047022,733
3,3.3439393,151,8.83E-04,178,2.91E-04,153,,5.1192176,204,0.0018636,239,5.12E-04,206,,8.6382132,257,0.0013884,302,8.06E-04,259,,16.7780247,313,0.0022606,373,9.99E-04,316,,20.8560634,379,0.0038601,447,0.0013934,382,,25.9896765,439,0.0053216,520,0.0019164,443,,35.4106105,496,0.0050871,582,0.0022719,498,,39.4932292,560,0.0066236,649,0.0029498,561,,51.7496108,613,0.0084789,711,0.0041556,616,,60.2859939,687,0.0103987,803,0.0046294,688,,74.4912049,727,0.0124602,857,0.0048103,733
4,2.8722181,152,6.67E-04,178,2.86E-04,153,,5.3893562,204,8.65E-04,239,5.13E-04,206,,9.133854,257,0.0013741,302,6.96E-04,259,,13.9849646,313,0.0021251,373,9.98E-04,316,,20.1316455,379,0.0027441,447,0.0015014,382,,26.575079,439,0.0046309,520,0.001935,443,,32.7544023,497,0.0049603,582,0.0029609,498,,42.5419496,560,0.0068517,649,0.0029346,561,,54.0172844,611,0.0092644,711,0.0039081,616,,58.4532539,687,0.0108307,803,0.0043484,688,,75.1617768,727,0.0146739,857,0.0046982,733
5,3.0528602,151,5.69E-04,178,2.72E-04,153,,5.2504783,204,8.76E-04,239,4.45E-04,206,,8.714678,257,0.0014094,302,8.27E-04,259,,16.1263863,312,0.0022019,373,0.001009,316,,20.427087,379,0.0032455,447,0.0019951,382,,27.0534243,438,0.0043173,520,0.0019369,443,,34.8339546,496,0.0058352,582,0.0023221,498,,42.8270029,561,0.0070464,649,0.0029628,561,,55.2200187,612,0.0096007,711,0.0037396,616,,59.8823697,687,0.0101262,803,0.0041994,688,,82.2133585,727,0.0121676,857,0.0052233,733
6,2.88721,151,6.21E-04,178,2.92E-04,153,,5.6983122,204,9.04E-04,239,4.33E-04,206,,8.580772,257,0.0013522,302,7.03E-04,259,,16.6838782,312,0.0021432,373,0.0011788,316,,21.6126113,379,0.0030268,447,0.0013513,382,,26.4833225,439,0.0046082,520,0.0017954,443,,32.585805,497,0.0056451,582,0.0029972,498,,40.9461151,561,0.006595,649,0.0029688,561,,59.7620317,612,0.0093617,711,0.0035924,616,,62.3835518,687,0.0108165,803,0.00421,688,,72.8661144,728,0.0130958,857,0.005275,733
